epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9326,1.87001,12.7842,1.13379,0.78915,0.34118,0.31763,0.16669,1.70351,1.54182,1.06483,0.0703409,0.00329545,0.00329545
2,51.6492,1.77011,1.81159,1.15175,0.81908,0.34118,0.33111,0.15995,1.67836,1.52293,1.02271,0.0402753,0.00656316,0.00656316
3,76.4746,1.77302,1.76598,1.14681,0.71801,0.21176,0.19605,0.10427,2.13692,4.81587,1.36801,0.0101437,0.00976487,0.00976487
4,101.343,1.99829,2.20042,1.29683,0.81585,0.32353,0.31455,0.13309,1.98067,2.23806,1.20059,0.009703,0.009703,0.009703
5,126.073,1.96375,1.8978,1.25464,0.72549,0.19412,0.26622,0.13673,1.70955,1.81575,1.14504,0.009604,0.009604,0.009604
6,150.841,1.98309,2.04462,1.24121,0.79692,0.27059,0.31316,0.12317,1.97857,1.93285,1.15911,0.009505,0.009505,0.009505
7,175.844,2.04637,2.05631,1.23696,0.72714,0.26471,0.29828,0.13099,1.86663,4.21406,1.12438,0.009406,0.009406,0.009406
8,201.146,1.86372,1.88355,1.19506,0.84467,0.32353,0.35758,0.15487,1.87191,1.61567,1.12569,0.009307,0.009307,0.009307
9,226.161,1.87459,1.89833,1.21936,0.29413,0.36414,0.27469,0.11629,1.88605,2.23476,1.14008,0.009208,0.009208,0.009208
10,250.986,1.89135,1.91134,1.17747,0.80373,0.2,0.24813,0.101,1.94843,4.82095,1.14452,0.009109,0.009109,0.009109
11,276.002,1.81001,1.8313,1.20112,0.82115,0.25882,0.32813,0.15496,1.84085,1.49652,1.13078,0.00901,0.00901,0.00901
12,300.976,1.77881,1.6473,1.20029,0.35845,0.44216,0.35541,0.13845,1.89671,2.11621,1.11252,0.008911,0.008911,0.008911
13,325.957,1.85634,1.70087,1.18392,0.84759,0.35294,0.40986,0.1886,1.68814,1.37832,1.0636,0.008812,0.008812,0.008812
14,350.867,1.81933,1.65955,1.17711,0.47253,0.35522,0.37735,0.16264,1.74703,1.79621,1.08759,0.008713,0.008713,0.008713
15,375.733,1.74989,1.76142,1.09863,0.79786,0.30339,0.33861,0.13754,1.80074,2.41742,1.13867,0.008614,0.008614,0.008614
16,400.582,1.66502,1.66679,1.10398,0.82711,0.27647,0.32164,0.16749,1.74336,1.481,1.11492,0.008515,0.008515,0.008515
17,425.286,1.71557,1.57165,1.17589,0.91095,0.3529,0.41725,0.2052,1.84142,1.33435,1.13904,0.008416,0.008416,0.008416
18,450.063,1.67532,1.5239,1.10667,0.86645,0.37059,0.39764,0.17639,1.80681,1.33278,1.11426,0.008317,0.008317,0.008317
19,474.792,1.69914,1.62265,1.09015,0.87616,0.33951,0.40152,0.20368,1.63525,1.34591,1.07067,0.008218,0.008218,0.008218
20,499.507,1.6149,1.56956,1.10262,0.89976,0.30496,0.36982,0.17544,1.67961,1.52191,1.06369,0.008119,0.008119,0.008119
21,524.482,1.69127,1.4675,1.10999,0.29141,0.45343,0.42596,0.19837,1.64269,1.30194,1.05435,0.00802,0.00802,0.00802
22,549.287,1.64188,1.54396,1.07571,0.88146,0.35967,0.44613,0.21623,1.68931,1.67832,1.03066,0.007921,0.007921,0.007921
23,574.099,1.59866,1.48481,1.09603,0.37902,0.44216,0.41176,0.18846,1.73444,1.59632,1.06366,0.007822,0.007822,0.007822
24,598.857,1.68319,1.49653,1.09083,0.82416,0.17354,0.33077,0.12701,1.98385,13.5879,1.46665,0.007723,0.007723,0.007723
25,623.588,1.66084,1.47029,1.12387,0.32762,0.38011,0.41108,0.18732,1.73693,2.01569,1.04496,0.007624,0.007624,0.007624
26,648.32,1.64471,1.45273,1.09929,0.44205,0.57794,0.48931,0.23173,1.49954,1.28562,0.97906,0.007525,0.007525,0.007525
27,673.369,1.60341,1.5205,1.09053,0.88642,0.38235,0.49581,0.23657,1.69478,1.87734,1.04611,0.007426,0.007426,0.007426
