epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4512,1.82275,16.3679,1.252,0.33756,0.27273,0.22513,0.13895,1.15052,2.50533,1.07701,0.0706818,0.00325758,0.00325758
2,25.9175,1.4088,3.48782,1.05321,0.00664,0.95455,0.03285,0.02131,1.11946,3.32353,0.91334,0.0406166,0.00652566,0.00652566
3,38.6468,1.72063,3.79084,1.23782,0.51725,0.34091,0.37969,0.19266,1.97551,2.60595,1.63495,0.0104853,0.00972774,0.00972774
4,51.3427,1.82427,3.99533,1.30208,0.01243,0.68182,0.03888,0.01711,1.65266,3.57364,1.14048,0.009703,0.009703,0.009703
5,63.9037,1.88123,3.58185,1.22482,0.29779,0.45455,0.28061,0.09172,2.32813,11.6549,1.82643,0.009604,0.009604,0.009604
6,76.4739,1.98931,3.26447,1.41692,0.52688,0.32924,0.38208,0.18406,1.75467,2.45035,1.49229,0.009505,0.009505,0.009505
7,89.0191,1.9782,2.98636,1.45565,0.44646,0.29545,0.28214,0.11774,1.91532,2.32199,1.55024,0.009406,0.009406,0.009406
8,101.693,2.11073,2.93458,1.45335,0.54175,0.43182,0.51766,0.215,2.00022,14.6503,1.68798,0.009307,0.009307,0.009307
9,114.443,2.08088,2.63322,1.48654,0.36431,0.25,0.20239,0.05439,2.99444,2.73299,2.27756,0.009208,0.009208,0.009208
10,126.997,1.98421,2.79206,1.42999,0.37995,0.25,0.19456,0.05945,2.73338,52.8761,1.96056,0.009109,0.009109,0.009109
11,139.531,2.05779,2.58139,1.42747,0.00148,0.20455,0.00095,0.00027,4.38053,4.3233,3.51669,0.00901,0.00901,0.00901
12,152.045,1.82808,2.75965,1.3431,0.03309,0.06818,0.01286,0.0043,3.37837,5.54582,3.31858,0.008911,0.008911,0.008911
13,164.613,1.88995,2.56716,1.43938,0.00985,0.13636,0.00302,0.00075,4.33644,531.881,3.57077,0.008812,0.008812,0.008812
14,177.165,1.9914,2.80326,1.34982,0.0759,0.09091,0.05672,0.02929,2.91071,5.10261,2.12026,0.008713,0.008713,0.008713
15,189.822,1.99037,2.35167,1.48336,0.57038,0.60359,0.58096,0.29616,1.82043,2.53012,1.44944,0.008614,0.008614,0.008614
16,202.609,1.88918,2.27637,1.42656,0.00107,0.04545,0.00027,8e-05,4.76795,263.922,7.79113,0.008515,0.008515,0.008515
17,215.268,1.94639,2.21755,1.36366,0.52592,0.68182,0.58971,0.33424,1.51543,1.50981,1.24417,0.008416,0.008416,0.008416
18,227.971,1.89382,2.22164,1.40476,0.70066,0.26627,0.39721,0.24984,1.63644,2.5415,1.31647,0.008317,0.008317,0.008317
19,240.572,1.81774,2.31073,1.29002,0.59564,0.34091,0.42925,0.21999,1.90398,7.08703,1.4554,0.008218,0.008218,0.008218
20,253.133,1.69805,2.05954,1.33154,0.67745,0.45455,0.52069,0.29039,1.58773,2.39632,1.33665,0.008119,0.008119,0.008119
21,265.684,1.7383,1.91131,1.30646,0.05432,0.04545,0.01394,0.00222,4.84599,6.17647,5.65114,0.00802,0.00802,0.00802
22,278.356,1.6878,1.94591,1.25598,0.92773,0.58368,0.71052,0.481,1.35823,2.87645,1.1973,0.007921,0.007921,0.007921
23,290.904,1.65247,1.80492,1.25459,0.79313,0.59091,0.64958,0.41437,1.50029,1.74382,1.21947,0.007822,0.007822,0.007822
24,303.347,1.65108,1.83014,1.24303,0.82966,0.66426,0.74379,0.45251,1.30938,1.68169,1.16515,0.007723,0.007723,0.007723
25,315.806,1.54619,1.68264,1.2719,0.81675,0.59091,0.73126,0.47707,1.35316,1.67687,1.14864,0.007624,0.007624,0.007624
26,328.265,1.62194,1.97769,1.27432,0.78403,0.59091,0.65705,0.26708,1.90295,3.11005,1.39384,0.007525,0.007525,0.007525
27,340.701,1.64663,1.82858,1.2604,0.03909,0.04545,0.02979,0.01365,4.25327,7.5151,4.19037,0.007426,0.007426,0.007426
28,353.289,1.50976,1.72531,1.19456,0.80192,0.61364,0.68403,0.39982,1.58758,2.54883,1.27604,0.007327,0.007327,0.007327
29,365.87,1.57875,1.87271,1.23962,0.66408,0.26973,0.35332,0.1857,2.09354,2.83733,1.69886,0.007228,0.007228,0.007228
